sid,roomid,mid,cid,semester,years,capacity
9,24,4,26,Fall,2025,25
12,14,19,27,Fall,2022,28
13,22,1,21,Spring,2022,35
15,11,6,15,V2,2020,30
16,2,2,35,Spring,2019,18
17,1,17,3,Spring,2021,16
18,2,14,4,Fall,2020,21
35,18,12,2,Spring,2018,22
40,8,18,10,Fall,2025,24
45,20,4,27,Fall,2020,20
47,14,16,13,Fall,2017,28
49,25,20,15,Spring,2023,22
51,20,19,19,V1,2020,19
55,1,5,7,Spring,2023,58
58,22,15,31,Fall,2017,38
62,21,5,8,Fall,2017,20
64,19,15,35,Fall,2025,31
81,22,13,14,Spring,2024,51
95,1,17,5,Spring,2019,54
96,1,20,37,V1,2025,63
109,10,11,27,Spring,2018,19
110,6,11,22,Fall,2019,20
117,22,7,9,Spring,2021,36
121,15,18,17,Fall,2020,28
127,9,20,16,Fall,2021,16
129,21,5,21,Spring,2022,29
137,4,4,17,V2,2019,24
139,19,4,17,Fall,2020,25
144,15,18,18,Spring,2020,17
155,12,2,15,V2,2018,20
166,11,19,12,Fall,2018,22
181,16,17,3,Fall,2017,37
182,9,18,32,Spring,2025,21
189,1,1,20,Fall,2025,50
190,1,4,35,V1,2022,32
218,23,20,12,Fall,2017,21
221,25,16,33,Fall,2020,22
225,25,19,19,Fall,2022,38
241,2,4,13,V2,2024,24
252,1,6,18,Fall,2021,64
253,4,14,30,Fall,2022,22
267,2,16,3,Fall,2018,22
268,16,20,35,Spring,2020,22
274,22,14,9,Spring,2022,47
276,16,19,36,Fall,2023,29
277,21,11,16,V2,2024,17
278,16,1,29,Spring,2022,18
279,16,12,32,Spring,2020,21
282,15,13,25,Fall,2023,25
291,14,5,24,Spring,2025,16
307,22,20,28,V1,2020,36
308,19,13,7,Spring,2022,55
310,10,20,26,Fall,2024,26
320,5,15,32,Fall,2018,19
323,25,17,12,Spring,2020,34
324,22,12,29,Spring,2019,38
326,22,8,28,Spring,2024,23
329,1,5,10,Fall,2025,25
332,11,18,26,Fall,2018,29
333,22,18,19,Fall,2018,41
341,19,19,15,Spring,2021,65
348,8,4,29,Fall,2020,28
361,7,8,22,Fall,2020,20
362,8,18,26,Fall,2019,18
375,1,7,4,Fall,2019,44
384,1,13,18,Fall,2017,61
385,4,2,25,Fall,2019,22
388,19,4,17,Spring,2019,62
389,1,5,5,Spring,2020,18
394,5,12,10,Fall,2020,28
411,22,11,36,Fall,2019,66
412,20,16,19,Spring,2025,19
417,1,15,16,Spring,2022,18
418,9,1,17,Spring,2025,25
429,10,20,29,Spring,2020,25
